red,rojo
orange,naranja
yellow,amarillo
green,verde
blue,azul
purple,morado
pink,rosa
brown,café
black,negro
white,blanco
gray,gris
silver,plateado
gold,dorado
navy,azul marino
turquoise,turquesa
indigo,índigo
cyan,cian
magenta,magenta
maroon,granate
olive,oliva
lime,lima
teal,verde azulado
peach,durazno
beige,beige
lavender,lavanda
salmon,salmón
coral,coral
ivory,marfil
tan,bronceado
crimson,carmesí
burgundy,borgoña
sky blue,azul cielo
violet,violeta
orchid,orquídea
azure,azur
chartreuse,chartreuse
fuchsia,fucsia
sepia,sepia
aquamarine,aguamarina
ruby,rubí
emerald,esmeralda
sapphire,zafiro
ruby,rojo rubí
emerald,verde esmeralda
sapphire,azul zafiro
plum,ciruela
tangerine,mandarina
mahogany,mahogany
amethyst,amatista
turquoise,turquesa
lilac,lila
cyan,cian
the,el
be,ser
to,a
of,de
and,y
a,un
in,en
that,ese
have,tener
I,yo
it,lo
for,para
not,no
on,en
with,con
he,él
as,como
you,tú
do,hacer
at,a
this,este
but,pero
his,su
by,por
from,de
they,ellos
we,nosotros
say,decir
her,ella
she,ella
or,o
an,un
will,voluntad
my,mi
one,uno
all,todo
would,ser
there,allí
their,su
what,qué
so,así que
up,arriba
out,afuera
if,si
about,acerca de
who,quién
get,obtener
which,que
go,ir
me,me
when,cuando
make,hacer
can,poder
like,como
time,tiempo
no,no
just,solo
him,él
know,saber
take,tomar
people,gente
into,en
year,año
your,tu
good,bueno
some,alguno
could,podría
them,ellos
see,ver
other,otro
than,que
then,entonces
now,ahora
look,mirar
only,solo
come,venir
its,su
over,encima
think,pensar
also,también
back,atrás
after,después
use,usar
two,dos
how,cómo
our,nuestro
work,trabajo
first,primero
well,bien
way,manera
even,incluso
new,nuevo
want,querer
because,porque
any,cualquier
these,estos
give,dar
day,día
most,la mayoría
us,nos
such,tales
very,muy
tell,contar
too,también
any,ninguno
even,aun
back,espalda
still,aún
much,mucho
own,propio
those,aquellos
going,yendo
going,ir
down,abajo
way,modo
must,debe
really,realmente
look,mira
thing,cosa
find,encontrar
long,largo
right,derecho
old,viejo
year,año
well,bien
justo,justo
too,demasiado
last,último
little,poco
great,gran
very,muy
still,todavía
tell,decir
say,decir
real,real
day,día
every,cada
own,propio
those,aquellos
work,trabajo
go,ir
come,ven
mean,significar
ask,preguntar
need,necesidad
same,mismo
try,intentar
leave,dejar
put,poner
next,próximo
start,comienzo
going,ir
give,dar
may,puede
sometimes,a veces
think,pensar
use,uso
again,de nuevo
long,largo
right,derecho
may,puede
such,tales
still,aún
too,también
even,aun
well,bien
often,a menudo
first,primero
thing,cosa
another,otro
last,último
give,dar
news,noticias
would,gustaría
need,necesidad
life,vida
public,público
state,estado
new,nuevo
come,ven
people,gente
also,también
like,como
see,ver
other,otro
time,tiempo
justo,justo
even,aun
good,bueno
use,uso
make,hacer
three,tres
see,ver
need,necesidad
state,estado
never,nunca
become,convertirse en
between,entre
high,alto
really,realmente
something,algo
most,la mayoría
another,otro
much,mucho
family,familia
own,propio
out,fuera
leave,dejar
put,poner
old,viejo
while,mientras
mean,significar
on,en
keep,mantener
student,estudiante
why,por qué
let,dejar
great,gran
same,mismo
big,grande
group,grupo
begin,comenzar
seem,parecer
country,país
help,ayuda
talk,hablar
where,dónde
turn,girar
problem,problema
every,cada
start,comienzo
hand,mano
might,podría
American,americano
show,mostrar
part,parte
about,acerca de
against,contra
place,lugar
over,encima
such,tales
again,de nuevo
few,pocos
case,caja
most,la mayoría
week,semana
company,empresa
where,dónde
system,sistema
each,cada
right,derecho
programa,programa
hear,escuchar
so,por lo tanto
question,pregunta
during,durante
work,trabajo
play,jugar
government,gobierno
run,correr
small,pequeño
number,número
off,apagado
always,siempre
move,mover
like,como
night,noche
live,vivir
Mr,señor
point,punto
believe,creer
hold,sostener
today,hoy
bring,traer
happen,ocurrir
next,próximo
without,sin
before,antes de
large,grande
million,millón
must,debe
home,casa
under,debajo
water,agua
room,sala
write,escribir
mother,madre
area,área
national,nacional
money,dinero
story,historia
young,joven
fact,hecho
month,mes
different,diferente
right,derecho
study,estudio
book,libro
eye,ojo
job,trabajo
word,palabra
though,aunque
business,negocio
issue,problema
side,lado
kind,tipo
four,cuatro
head,cabeza
far,lejos
black,negro
long,largo
both,ambos
little,pequeño
house,casa
yes,sí
since,desde
provide,proporcionar
service,servicio
around,alrededor
friend,amigo
important,importante
father,padre
sit,sentarse
away,lejos
until,hasta
power,poder
hour,hora
game,juego
often,a menudo
yet,todavía
line,línea
political,político
end,final
among,entre
ever,alguna vez
stand,pararse
bad,malo
lose,perder
however,sin embargo
member,miembro
pay,pagar
law,ley
meet,conocer
car,coche
city,ciudad
almost,casi
include,incluir
continue,continuar
set,juego
later,más tarde
community,comunidad
name,nombre
five,cinco
once,una vez
white,blanco
least,al menos
president,presidente
learn,aprender
real,real
change,cambio
team,equipo
minute,minuto
best,mejor
several,varios
idea,idea
kid,niño
body,cuerpo
information,información
nothing,nada
ago,hace
lead,conducir
social,social
understand,comprender
whether,si
back,espalda
watch,reloj
together,junto
follow,seguir
around,alrededor
parent,padre
only,solo
stop,parar
face,cara
anything,algo
create,crear
public,público
already,ya
speak,hablar
others,otros
read,leer
level,nivel
allow,permitir
add,agregar
office,oficina
spend,gastar
door,puerta
health,salud
person,persona
art,arte
sure,seguro
such,tales
war,guerra
history,historia
party,fiesta
within,dentro
grow,crecer
result,resultado
open,abrir
morning,mañana
walk,caminar
reason,motivo
low,bajo
win,ganar
research,investigación
girl,chica
guy,chico
early,temprano
food,comida
before,antes de
momento,momento
your,tu
moment,momento
girl,chica
become,convertirse en
moment,momento
boy,chico
word,palabra
moment,momento
good,bueno
paso,paso
step,paso
side,lado
evidence,evidencia
word,palabra
sure,seguro
nothing,nada
law,ley
something,algo
idea,idea
policy,polític
hello, hola
hi, hola
